Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z,,
263.15,0.1,27.351099530412107,0.012386872880229764,-0.00182558,,
263.15,0.1,31.93020307691027,0.012186506374987634,-0.00170099,,
263.15,0.1,37.27593720314938,0.012012820344591994,-0.001572527,,
263.15,0.1,43.51665070924412,0.011864057681573118,-0.001445411,,
263.15,0.1,50.80218046913023,0.011737497933553545,-0.001323683,,
263.15,0.1,59.30744895010559,0.011629910177691697,-0.001210176,,
263.15,0.1,69.23666403,0.011537915696168107,-0.001106604,,
263.15,0.1,80.82822192522706,0.011458249374161875,-0.001013724,,
263.15,0.1,94.36043101,0.011387934,-0.000931509,,
263.15,0.1,110.15819387358995,0.011324392906425168,-0.000859322,,
263.15,0.1,128.6008080610565,0.011265519,-0.000796078,,
263.15,0.1,150.1310728908171,0.011209718404875349,-0.000740395,,
263.15,0.1,175.26592085367585,0.011155923787630005,-0.000690749,,
263.15,0.1,204.6088289466011,0.011103571875957374,-0.000645631,,
263.15,0.1,238.86430789845957,0.011052536935368092,-0.000603685,,
263.15,0.1,278.85481717262917,0.01100302,-0.000563819,,
263.15,0.1,325.5405118685032,0.010955405958297026,-0.000525264,,
263.15,0.1,380.04229563658816,0.010910122601610929,-0.00048757,,
263.15,0.1,443.66873309786064,0.010867519172341357,-0.000450538,,
263.15,0.1,517.9474679231213,0.010827798833207409,-0.000414131,,
263.15,0.1,604.6619009070436,0.010791003529452994,-0.000378364,,
263.15,0.1,705.8940086618738,0.010757043043916448,-0.000343226,,
263.15,0.1,824.0743309893649,0.010725746623765764,-0.000308634,,
263.15,0.1,962.0403271064761,0.010696914692989008,-0.000274418,,
263.15,0.1,1123.1045018329517,0.010670355129520786,-0.00024033,,
263.15,0.1,1311.133937421563,0.010645899309844182,-0.000206069,,
263.15,0.1,1530.6431405563565,0.010623402269536335,-0.000171284,,
263.15,0.1,1786.9024337358285,0.010602735315071282,-0.000135587,,
263.15,0.1,2086.0644934719567,0.010583778103399498,-9.85E-05,,
263.15,0.1,2435.3120734334125,0.010566413320675837,-5.97E-05,,
263.15,0.1,2843.030459302665,0.010550523838116745,-1.84E-05,,
263.15,0.1,3319.008795914677,0.010535991051988056,2.5939568119992372e-05,,
263.15,0.1,3874.6751204561283,0.010522693489881755,7.404632143621155e-05,,
263.15,0.1,4523.370744772096,0.010510505494928428,0.000126802,,
263.15,0.1,5280.670574582637,0.010499296226048078,0.000185213,,
263.15,0.1,6164.757056337161,0.010488929335160308,0.000250453,,
263.15,0.1,7196.856730011514,0.010479263698158678,0.000323901,,
263.15,0.1,8401.749869294326,0.010470155592585162,0.00040717,,
263.15,0.1,9808.365445406671,0.010461462739173975,0.000502153,,
263.15,0.1,11450.475699382812,0.010453050577874923,0.000611069,,
263.15,0.1,13367.506999197063,0.010444800846256418,0.000736517,,
263.15,0.1,15605.486450070717,0.010436621764344164,0.00088153,,
263.15,0.1,18218.146985669748,0.010428457927133067,0.00104964,,
263.15,0.1,21268.217472962082,0.010420296871933639,0.001244942,,
263.15,0.1,24828.92880560325,0.010412169151644347,0.001472179,,
263.15,0.1,28985.772146510622,0.010404140318009621,0.00173683,,
263.15,0.1,33838.551534282335,0.010396296124538915,0.002045234,,
263.15,0.1,39503.780135666406,0.010388724919678715,0.002404736,,
263.15,0.1,46117.47767708251,0.010381501985268295,0.002823869,,
263.15,0.1,53838.436220334894,0.010374679182410142,0.003312573,,
263.15,0.1,62852.03269240097,0.010368280852716055,0.003882442,,
263.15,0.1,73374.67970651374,0.010362304949297836,0.00454702,,
263.15,0.1,85659.02153685482,0.010356727540252134,0.005322136,,
263.15,0.1,100000,0.010351508970175045,0.006226286,,
263.15,0.30000000000000004,0.001,0.016048875567888702,-0.00144636,,
263.15,0.30000000000000004,0.001167419,0.015917482803328966,-0.00141434,,
263.15,0.30000000000000004,0.001362868,0.015775742285719874,-0.001376217,,
263.15,0.30000000000000004,0.001591038,0.015628931,-0.001327597,,
263.15,0.30000000000000004,0.001857409,0.015483162475412668,-0.001266407,,
263.15,0.30000000000000004,0.002168375,0.015344337094103351,-0.00119303,,
263.15,0.30000000000000004,0.002531403,0.015217178,-0.001109867,,
263.15,0.30000000000000004,0.002955209,0.015104662909222213,-0.001020525,,
263.15,0.30000000000000004,0.003449968,0.015007949431259042,-0.000928916,,
263.15,0.30000000000000004,0.00402756,0.014926685751891978,-0.000838573,,
